site,nei_site,distance,counts
11569,,18,99999
11571,,12,99999
11571,301356,194,48
11571,9014989,180,40
11571,101342,181,18
11571,134822,196,12
11571,301382,187,6
11571,304009,170,4
11571,9017674,160,4
11571,303711,200,2
11571,303713,168,2
11571,43439,189,2
11571,9003154,173,2
11571,9003380,196,2
11571,9027615,180,2
11572,,10,99999
11572,9013096,179,40
11572,301088,200,34
11572,9009803,197,32
11572,9004237,165,12
11572,132242,179,10
11572,301357,185,4
11572,9017039,187,4
11572,134574,163,2
11572,9018584,176,2
11572,9022576,198,2
11572,9027505,199,2
11573,,86,99999
11573,302517,171,104
11573,101521,175,27
11573,9004237,168,12
11573,9023328,170,12
11573,134990,158,6
11573,9019968,183,6
11573,9027546,151,4
11573,9022769,180,2
11575,51718,199,105
11575,9013096,187,40
11575,101521,198,27
11575,9023328,163,12
11575,301357,160,4
11575,134574,184,2
11575,135009,191,2
11575,303846,199,2
11575,49119,160,2
11579,,8,99999
11579,134449,192,183
11579,101351,171,15
11579,53003,170,12
11579,303710,189,4
11579,304002,152,4
11579,43837,197,4
11579,9026315,171,2
11581,,4,99999
11581,9015093,182,58
11581,101351,185,15
11581,134836,186,12
11581,303563,159,12
11581,303932,184,8
11581,9002654,176,7
11581,9020126,188,6
11581,102174,197,2
11581,9024210,161,2
11581,49535,174,1
11585,11603,183,6
11585,301238,195,6
11585,134418,181,2
11588,302923,165,4
11588,304060,151,4
11588,205432,187,2
11588,51591,154,2
11590,,36,99999
11590,9004377,168,20
11590,303237,185,12
11590,304064,166,6
11590,304056,154,4
11590,305394,160,4
11590,9016777,177,4
11590,9024259,164,4
11590,135073,198,2
11590,303852,186,2
11590,304992,190,2
11590,9003147,185,2
11591,,113,99999
11591,137270,183,113
11591,301205,200,88
11591,303989,168,12
11591,304987,166,6
11591,9008787,193,2
11593,,6,99999
11593,9001289,172,132
11593,404118,171,98
11593,11594,178,14
11593,304562,194,8
11593,301885,191,4
11593,303999,179,4
11593,50672,167,4
11593,135231,179,2
11593,135390,178,2
11593,303723,152,2
11593,9011518,195,2
11594,,14,99999
11594,301206,189,43
11594,36210,187,41
11594,134822,196,12
11594,11593,178,6
11594,301890,197,6
11594,304009,183,4
11594,9017674,182,4
11594,135306,157,2
11594,135390,190,2
11594,303711,169,2
11594,9007817,171,2
11594,300787,160,1
11596,,268,99999
11596,11597,156,347
11596,51576,200,54
11596,44125,165,10
11596,50686,198,8
11596,9024259,181,4
11596,131140,191,2
11596,134565,154,2
11596,302571,174,2
11596,303676,183,2
11596,9003147,198,2
11596,9022120,152,2
11597,,347,99999
11597,11596,156,268
11597,50686,182,8
11597,304054,197,6
11597,11602,156,4
11597,131140,166,2
11597,134360,152,2
11597,135073,177,2
11597,302571,170,2
11597,303676,164,2
11597,304992,164,2
11597,9004106,187,2
11597,9009285,199,2
11599,,223,99999
11599,9015093,174,58
11599,134872,182,12
11599,301349,180,6
11599,43837,175,4
11599,305420,195,2
11599,37451,188,2
11599,9016459,152,2
11600,,6,99999
11600,206082,192,106
11600,306249,165,86
11600,304020,174,60
11600,206068,152,14
11600,134980,176,2
11600,301673,177,2
11600,51590,186,2
11600,9002988,196,2
11601,,2,99999
11601,301206,154,43
11601,53003,173,12
11601,134245,200,8
11601,304002,157,4
11601,133978,173,2
11601,134923,157,2
11601,9007817,174,2
11601,300787,180,1
11602,,4,99999
11602,11597,156,347
11602,101732,195,54
11602,301393,160,37
11602,303677,193,12
11602,134317,156,8
11602,134453,170,4
11602,301366,166,4
11602,301388,191,4
11602,303847,169,2
11603,,6,99999
11603,101666,195,33
11603,304986,160,24
11603,101731,177,15
11603,301238,192,6
11603,206078,187,4
11603,134418,184,2
